+----------------------------------------------------------------------------------------------------------------------+--------+
|                                                        title                                                         | rating |
| How to Train Your Dragon                                                                                             | 8.1    |
| Shrek Forever After                                                                                                  | 6.3    |
| The Whistleblower                                                                                                    | 7.1    |
| Don't Fade Away                                                                                                      | 5.0    |
| Psych:9                                                                                                              | 4.4    |
| Acts of Violence                                                                                                     | 5.8    |
| Westbrick Murders                                                                                                    | 2.5    |
| Prey                                                                                                                 | 5.2    |
| Eager to Die                                                                                                         | 6.5    |
| Movin' in                                                                                                            | 7.0    |
| House Under Siege                                                                                                    | 4.5    |
| Monkeyman935                                                                                                         | 6.8    |
| Unthinkable                                                                                                          | 7.1    |
| Jackboots on Whitehall                                                                                               | 5.3    |
| Victim                                                                                                               | 5.9    |
| The Happy Housewife                                                                                                  | 6.7    |
| The Dead Undead                                                                                                      | 3.0    |
| Truth About Kerry                                                                                                    | 5.0    |
| Pizza with Bullets                                                                                                   | 6.7    |
| Harry Potter and the Deathly Hallows: Part 1                                                                         | 7.7    |
| The Penthouse                                                                                                        | 3.6    |
| Glenn, the Flying Robot                                                                                              | 3.8    |
| The Waiter                                                                                                           | 4.9    |
| Rabbit Hole                                                                                                          | 7.0    |
| The Devil's Flower                                                                                                   | 1.5    |
| The Last Airbender                                                                                                   | 4.0    |
| Arthur 3: The War of the Two Worlds                                                                                  | 5.5    |
| White Knuckles                                                                                                       | 6.3    |
| Salt                                                                                                                 | 6.4    |
| Black Swan                                                                                                           | 8.0    |
| Green Zone                                                                                                           | 6.8    |
| The Killer Inside Me                                                                                                 | 6.1    |
| Robin Hood                                                                                                           | 6.6    |
| Heart of Now                                                                                                         | 6.9    |
| Beautiful Darling                                                                                                    | 7.8    |
| Private Security Officer: Los Angeles                                                                                | 7.0    |
| Truth in Numbers? Everything, According to Wikipedia                                                                 | 7.0    |
| The House of Sun                                                                                                     | 6.3    |
| Made in Romania                                                                                                      | 5.1    |
| Feast of the Assumption: BTK and the Otero Family Murders                                                            | 6.1    |
| The Sorcerer's Apprentice                                                                                            | 6.1    |
| The Fighter                                                                                                          | 7.8    |
| Pushin' Up Daisies                                                                                                   | 8.0    |
| Have You Heard from Johannesburg: Hell of a Job                                                                      | 7.4    |
| Have You Heard from Johannesburg: Road to Resistance                                                                 | 7.0    |
| L'imbroglio nel lenzuolo                                                                                             | 4.9    |
| The Conspirator                                                                                                      | 6.9    |
| White Wall                                                                                                           | 4.2    |
| Little Fockers                                                                                                       | 5.5    |
| The Chosen One                                                                                                       | 4.5    |
| The Reason                                                                                                           | 7.5    |
| Have You Heard from Johannesburg: Fair Play                                                                          | 8.1    |
| Have You Heard from Johannesburg: The Bottom Line                                                                    | 8.1    |
| Headhunter: The Assessment Weekend                                                                                   | 3.3    |
| Black Limousine                                                                                                      | 4.8    |
| Sinatra Club                                                                                                         | 4.5    |
| Boyle Heights                                                                                                        | 4.6    |
| Fair Game                                                                                                            | 6.8    |
| Have You Heard from Johannesburg: Free at Last                                                                       | 6.8    |
| Lottery Ticket                                                                                                       | 5.1    |
| The Chronicles of Narnia: The Voyage of the Dawn Treader                                                             | 6.3    |
| Heredity                                                                                                             | 6.5    |
| A Dance for Grace                                                                                                    | 7.9    |
| Multiple Sarcasms                                                                                                    | 4.9    |
| Machete                                                                                                              | 6.6    |
| A Flat                                                                                                               | 4.6    |
| The Gainesville Ripper                                                                                               | 6.0    |
| Dear John                                                                                                            | 6.3    |
| Detention                                                                                                            | 3.1    |
| Adventure Scouts                                                                                                     | 6.2    |
| Bibliothèque Pascal                                                                                                  | 7.1    |
| The Experiment                                                                                                       | 6.4    |
| Looking for the Lost Tango                                                                                           | 6.4    |
| Megamind                                                                                                             | 7.3    |
| Call of Life                                                                                                         | 7.7    |
| Last Breath                                                                                                          | 3.8    |
| Opal                                                                                                                 | 7.9    |
| The Steamroom                                                                                                        | 6.8    |
| Romantic Warriors: A Progressive Music Saga                                                                          | 7.6    |
| Love Sick Diaries                                                                                                    | 7.8    |
| Knight and Day                                                                                                       | 6.3    |
| Dylan Dog: Dead of Night                                                                                             | 5.1    |
| Alice in Wonderland                                                                                                  | 6.4    |
| Holy Wars                                                                                                            | 7.1    |
| The Cursed                                                                                                           | 5.0    |
| Prime of Your Life                                                                                                   | 5.2    |
| Splintered                                                                                                           | 4.0    |
| The Runaways                                                                                                         | 6.5    |
| The Tortured                                                                                                         | 5.5    |
| Jeffie Was Here                                                                                                      | 8.3    |
| Centurion                                                                                                            | 6.3    |
| Patagonia                                                                                                            | 6.7    |
| Certified Copy                                                                                                       | 7.3    |
| Takedowns and Falls                                                                                                  | 8.0    |
| Babies                                                                                                               | 7.1    |
| The Way Back                                                                                                         | 7.3    |
| Kingshighway                                                                                                         | 7.7    |
| RiffTrax: High School Musical                                                                                        | 5.1    |
| Dead Americans                                                                                                       | 7.3    |
