+----------------------------------------------------------------------------------------------------------------------+--------+
|                                                        title                                                         | rating |
| Queen of the Lot                                                                                                     | 5.3    |
| Speed-Dating                                                                                                         | 2.8    |
| Fortress of War                                                                                                      | 7.5    |
| Time You Change                                                                                                      | 2.9    |
| Paradox                                                                                                              | 4.6    |
| Reuniting the Rubins                                                                                                 | 5.2    |
| Angels Love Donuts                                                                                                   | 3.0    |
| From Hollywood to Hollywood                                                                                          | 7.5    |
| Family Tree                                                                                                          | 6.6    |
| Play On                                                                                                              | 7.2    |
| Darren & Abbey                                                                                                       | 6.9    |
| The Clinic                                                                                                           | 5.4    |
| Ishqiya                                                                                                              | 7.3    |
| About Her Brother                                                                                                    | 6.9    |
| Scandalous Body                                                                                                      | 6.6    |
| Music Makes a City: A Louisville Orchestra Story                                                                     | 7.7    |
| Dreaming Nicaragua                                                                                                   | 8.7    |
| The Loneliest Road in America                                                                                        | 6.6    |
| Defcon 2012                                                                                                          | 1.8    |
| Dumbstruck                                                                                                           | 6.0    |
| Everything Will Happen Before You Die                                                                                | 6.6    |
| Luster                                                                                                               | 4.9    |
| Pyaar Impossible                                                                                                     | 4.7    |
| How to Be a SexStar                                                                                                  | 5.3    |
| Psychosis                                                                                                            | 3.6    |
| Lullaby for Pi                                                                                                       | 6.7    |
| Nude Nuns with Big Guns                                                                                              | 3.9    |
| The Blue Seal                                                                                                        | 7.1    |
| Ghost Bridge                                                                                                         | 6.4    |
| Surviving Life                                                                                                       | 7.3    |
| Savages Crossing                                                                                                     | 3.7    |
| Jordan                                                                                                               | 5.3    |
| Feed the Fish                                                                                                        | 6.1    |
| Rifftrax: Santa and the Ice Cream Bunny                                                                              | 4.6    |
| Dig                                                                                                                  | 8.6    |
| Exporting Raymond                                                                                                    | 6.9    |
| I'm Still Here                                                                                                       | 6.2    |
| Athlete                                                                                                              | 7.9    |
| Voices in the Clouds                                                                                                 | 8.4    |
| The American Buffalo                                                                                                 | 8.3    |
| The Chameleon                                                                                                        | 5.5    |
| Dardesar Bozorg                                                                                                      | 3.6    |
| Paper Birds                                                                                                          | 7.0    |
| Rust                                                                                                                 | 5.6    |
| The Shouting Men                                                                                                     | 5.0    |
| 24h Marrakech                                                                                                        | 7.3    |
| The Extra Man                                                                                                        | 5.8    |
| The Fallen Angel                                                                                                     | 5.9    |
| Nanga Parbat                                                                                                         | 6.5    |
| 8 Uhr 28                                                                                                             | 6.1    |
| Max Schmeling                                                                                                        | 4.7    |
| The Silence                                                                                                          | 7.0    |
| Dynamite Swine                                                                                                       | 7.5    |
| Ain't in It for My Health: A Film About Levon Helm                                                                   | 7.2    |
| Some Other Stories                                                                                                   | 6.1    |
| The Stranger in Us                                                                                                   | 5.6    |
| Foodland                                                                                                             | 6.7    |
| La dernière fugue                                                                                                    | 7.0    |
| Zenith                                                                                                               | 6.1    |
| The Platinum Peacemaker                                                                                              | 8.1    |
| On Childhood                                                                                                         | 6.9    |
| Madrasapattinam                                                                                                      | 7.8    |
| A Road Not Taken                                                                                                     | 8.5    |
| Drama                                                                                                                | 5.0    |
| Martino's Summer                                                                                                     | 6.6    |
| Main Street                                                                                                          | 4.7    |
| We Believed                                                                                                          | 6.5    |
| Norberto's Deadline                                                                                                  | 6.4    |
| Miral                                                                                                                | 6.3    |
| Dead of Knight                                                                                                       | 4.9    |
| Eve's Necklace                                                                                                       | 7.2    |
| Time in the Minors                                                                                                   | 6.5    |
| Daylight Fades                                                                                                       | 3.5    |
| Shourya                                                                                                              | 6.2    |
| The Ward                                                                                                             | 5.6    |
| Costa Rican Summer                                                                                                   | 2.8    |
| 180º                                                                                                                 | 6.0    |
| Dear Mr. Gacy                                                                                                        | 6.4    |
| Raven                                                                                                                | 5.1    |
| Made in Dagenham                                                                                                     | 7.2    |
| The Kid                                                                                                              | 6.8    |
| Knifer                                                                                                               | 6.3    |
| Punda                                                                                                                | 2.1    |
| Stranded                                                                                                             | 5.1    |
| Hollywood Don't Surf!                                                                                                | 7.8    |
| School Master                                                                                                        | 8.0    |
| I Was a 7th Grade Dragon Slayer                                                                                      | 3.4    |
| Karthik Calling Karthik                                                                                              | 7.1    |
| The Awakening                                                                                                        | 2.6    |
| Snowmen                                                                                                              | 6.1    |
| Bad Faith                                                                                                            | 4.0    |
| Holy Land                                                                                                            | 6.5    |
| Inception                                                                                                            | 8.8    |
| Grown Ups                                                                                                            | 6.0    |
| Stricken                                                                                                             | 3.4    |
| Gunless                                                                                                              | 6.5    |
| Freight                                                                                                              | 4.1    |
| Imogène McCarthery                                                                                                   | 5.4    |
| Jean Gentil                                                                                                          | 6.8    |
| I Love You Too                                                                                                       | 6.0    |
| Rachel Is                                                                                                            | 7.7    |
| Florent: Queen of the Meat Market                                                                                    | 7.4    |
| When Soldiers Cry                                                                                                    | 2.3    |
| Peace                                                                                                                | 7.2    |
| When the Dragon Swallowed the Sun                                                                                    | 6.8    |
| Peepers                                                                                                              | 6.0    |
| The Gertrude Stein Mystery or Some Like It Art                                                                       | 4.2    |
| Braincell                                                                                                            | 4.1    |
| If You Love                                                                                                          | 5.1    |
| Bad Family                                                                                                           | 6.3    |
| Ricky Rapper and the Bicycle Thief                                                                                   | 5.2    |
| Run Sister Run!                                                                                                      | 5.5    |
| Pudana Last of the Line                                                                                              | 6.7    |
| The Officer's Wife                                                                                                   | 8.0    |
| Big Money Rustlas                                                                                                    | 4.1    |
| Habermann                                                                                                            | 7.0    |
| Attack of the Vegan Zombies!                                                                                         | 3.4    |
| Forged                                                                                                               | 4.9    |
| Baby Jane?                                                                                                           | 6.5    |
| Die Bielefeld Verschwörung                                                                                           | 7.0    |
| Freestyle                                                                                                            | 3.1    |
| The Holy Land of Tyrol                                                                                               | 6.5    |
| Pete Smalls Is Dead                                                                                                  | 5.1    |
| Father of Invention                                                                                                  | 5.8    |
| A Genesis Found                                                                                                      | 6.3    |
| Fuchsia the Mini-Witch                                                                                               | 5.5    |
| The Roundup                                                                                                          | 7.1    |
| Goodbye, Someday                                                                                                     | 6.8    |
| Mord på mere end én Måde                                                                                             | 3.6    |
| Land of the Rising Fastball                                                                                          | 9.4    |
| The Clean Up Woman                                                                                                   | 6.1    |
| Justify                                                                                                              | 3.4    |
| Godkiller: Walk Among Us                                                                                             | 5.5    |
| As We Forgive                                                                                                        | 8.1    |
| The Runway                                                                                                           | 6.5    |
| Cop Out                                                                                                              | 5.6    |
| The Other Guys                                                                                                       | 6.7    |
| A Somewhat Gentle Man                                                                                                | 6.9    |
| The Dead                                                                                                             | 5.7    |
| Ip Man 2                                                                                                             | 7.5    |
| 9 meses                                                                                                              | 5.2    |
| Bicycle Bride                                                                                                        | 3.9    |
| Martín al amanecer                                                                                                   | 5.5    |
| Disfarmer: A Portrait of America                                                                                     | 7.9    |
| Fuerteventura                                                                                                        | 6.7    |
| Luna verde                                                                                                           | 5.5    |
| Pursuit                                                                                                              | 4.2    |
| Sin ella                                                                                                             | 6.6    |
| Mirch                                                                                                                | 6.5    |
| Antalya                                                                                                              | 4.1    |
| Dancing on a Dry Salt Lake                                                                                           | 8.4    |
| Baseline                                                                                                             | 5.1    |
| Cut                                                                                                                  | 3.1    |
| Orly                                                                                                                 | 6.0    |
| Devil's Kickers                                                                                                      | 5.5    |
| Bedrooms                                                                                                             | 4.3    |
| The Final                                                                                                            | 5.4    |
| Cage Free                                                                                                            | 7.6    |
| The Penny                                                                                                            | 5.7    |
| Walkaway                                                                                                             | 6.4    |
| And Soon the Darkness                                                                                                | 5.1    |
| Killing Schrödinger's Cats                                                                                           | 4.6    |
| Perfect Sunday                                                                                                       | 5.8    |
| Marwencol                                                                                                            | 7.6    |
| Why Did I Get Married Too?                                                                                           | 4.7    |
| Among Us                                                                                                             | 5.1    |
| Turk's Head                                                                                                          | 5.9    |
| Run If You Can                                                                                                       | 7.2    |
| Whale                                                                                                                | 7.7    |
| Marmaduke                                                                                                            | 4.3    |
| Chance Pe Dance                                                                                                      | 4.7    |
| Speed of Glory                                                                                                       | 5.3    |
| The Sinners                                                                                                          | 7.0    |
| Sex & Drugs & Rock & Roll                                                                                            | 6.6    |
| Aftershock                                                                                                           | 7.5    |
| Shaawanokie                                                                                                          | 5.6    |
| Helena from the Wedding                                                                                              | 4.6    |
| No Limit Kids: Much Ado About Middle School                                                                          | 7.0    |
| Patrol Men                                                                                                           | 4.6    |
| Blood Into Wine                                                                                                      | 7.2    |
| Once Upon a Time in Mumbaai                                                                                          | 7.4    |
| Erasing David                                                                                                        | 6.1    |
| Project Purgatory                                                                                                    | 4.2    |
| Action Replayy                                                                                                       | 4.3    |
| Outcast                                                                                                              | 5.4    |
| Passion Play                                                                                                         | 4.6    |
| Gardiens de l'ordre                                                                                                  | 6.0    |
| Confucius                                                                                                            | 6.2    |
| Locked In                                                                                                            | 4.8    |
| The Day I Was Not Born                                                                                               | 6.8    |
| O Último Voo do Flamingo                                                                                             | 5.1    |
| YellowBrickRoad                                                                                                      | 4.8    |
| iCrime                                                                                                               | 6.0    |
| Blank City                                                                                                           | 7.1    |
| Earthling                                                                                                            | 4.2    |
| Monster: The Josef Fritzl Story                                                                                      | 4.9    |
| Trailerpark                                                                                                          | 7.7    |
| The Vinyl Frontier                                                                                                   | 6.5    |
| Wid Winner and the Slipstream                                                                                        | 8.4    |
| House of Black Wings                                                                                                 | 5.7    |
| The Impossible Murder                                                                                                | 6.6    |
| Jew Suss: Rise and Fall                                                                                              | 6.1    |
| Pièce montée                                                                                                         | 5.6    |
| Winter's Bone                                                                                                        | 7.2    |
| First Dog                                                                                                            | 5.1    |
| Zatoichi: The Last                                                                                                   | 5.2    |
| Rare Exports                                                                                                         | 6.7    |
| The Con Artist                                                                                                       | 4.8    |
| Slime City Massacre                                                                                                  | 4.4    |
| Black Venus                                                                                                          | 6.8    |
| Red Nights                                                                                                           | 5.4    |
| The Little Bedroom                                                                                                   | 6.9    |
| 72 days                                                                                                              | 6.9    |
| How Would You Feel?                                                                                                  | 7.0    |
| Aurora                                                                                                               | 6.5    |
| Come Undone                                                                                                          | 6.0    |
| Dance with Me                                                                                                        | 6.2    |
| Hesher                                                                                                               | 7.0    |
| The Invocation                                                                                                       | 4.2    |
| Orgy of the Damned                                                                                                   | 4.1    |
| Suicide Dolls                                                                                                        | 6.3    |
| Everything Will Be Fine                                                                                              | 6.1    |
| True Grit                                                                                                            | 7.6    |
| Remember Me                                                                                                          | 7.1    |
| Rage                                                                                                                 | 4.4    |
| The Romantics                                                                                                        | 5.1    |
| All to the Sea                                                                                                       | 5.3    |
| Cherry.                                                                                                              | 6.5    |
| The Bannen Way                                                                                                       | 5.3    |
| Six Days in Paradise                                                                                                 | 6.1    |
| For Colored Girls                                                                                                    | 6.1    |
| Le baltringue                                                                                                        | 1.7    |
| Loose Cannons                                                                                                        | 7.2    |
| Legenda o Lietajúcom Cypriánovi                                                                                      | 5.5    |
| Altitude                                                                                                             | 4.8    |
| Violet Tendencies                                                                                                    | 6.2    |
| Just Wright                                                                                                          | 5.9    |
| Twelve                                                                                                               | 5.6    |
| Passione                                                                                                             | 7.0    |
| 180° South                                                                                                           | 7.6    |
| Dream Home                                                                                                           | 6.6    |
| Krantiveer: The Revolution                                                                                           | 4.7    |
| The Father and the Foreigner                                                                                         | 6.1    |
| Boys of Summer                                                                                                       | 7.5    |
| Bloomington                                                                                                          | 5.9    |
| Greenlit                                                                                                             | 8.2    |
| An Acrid Yarn                                                                                                        | 2.7    |
| A Man's Story                                                                                                        | 6.4    |
| Freeway Killer                                                                                                       | 5.4    |
| Just the Three of Us                                                                                                 | 5.7    |
| Redención                                                                                                            | 6.4    |
| Franzie                                                                                                              | 6.2    |
| Cinderella Moon                                                                                                      | 6.3    |
| Beauty and the Beast                                                                                                 | 3.1    |
| The Well Beloved One                                                                                                 | 6.5    |
| Night Wolf                                                                                                           | 4.3    |
| Stalker                                                                                                              | 4.4    |
| Ice Castles                                                                                                          | 6.3    |
| Pastor Shepherd                                                                                                      | 4.2    |
| God Willing                                                                                                          | 7.5    |
| Beware the Gonzo                                                                                                     | 6.3    |
| Eat Me!                                                                                                              | 5.6    |
| Biophage                                                                                                             | 3.1    |
| In Your Eyes                                                                                                         | 5.3    |
| Golden Slumber                                                                                                       | 6.9    |
| Face Time                                                                                                            | 6.0    |
| American Mystic                                                                                                      | 6.4    |
| Over Your Cities Grass Will Grow                                                                                     | 7.1    |
| Sophie & Sheba                                                                                                       | 4.6    |
| Tracker                                                                                                              | 6.5    |
| You Again                                                                                                            | 5.8    |
| Days for Amanda                                                                                                      | 7.7    |
| Godforsaken                                                                                                          | 4.2    |
| Solanin                                                                                                              | 7.0    |
| Bus Palladium                                                                                                        | 5.6    |
| Immigration Tango                                                                                                    | 3.7    |
| Karma                                                                                                                | 7.4    |
| Nanny McPhee Returns                                                                                                 | 6.1    |
| The Brazen Bull                                                                                                      | 3.6    |
| Rock Marí                                                                                                            | 6.3    |
| Minor League: A Football Story                                                                                       | 6.5    |
| Texas Frightmare Massacre                                                                                            | 6.0    |
| The Youngest Son                                                                                                     | 6.0    |
| An Ordinary Execution                                                                                                | 6.4    |
| The Odd One Out                                                                                                      | 6.6    |
| Cirkus Columbia                                                                                                      | 7.2    |
| Eye Over Prague                                                                                                      | 7.6    |
| Among Wolves                                                                                                         | 6.7    |
| Beneath Hill 60                                                                                                      | 7.1    |
| Tirza                                                                                                                | 6.4    |
| Haru's Journey                                                                                                       | 7.1    |
| Fairview St.                                                                                                         | 7.2    |
| All About My Father                                                                                                  | 4.0    |
| Blue Bus                                                                                                             | 8.2    |
| Port of Memory                                                                                                       | 6.1    |
| El idioma imposible                                                                                                  | 7.1    |
| Goa                                                                                                                  | 6.6    |
| It's Not You, It's Me                                                                                                | 5.7    |
| Bloodworth                                                                                                           | 6.1    |
| Somewhere                                                                                                            | 6.3    |
| Mulberry St.                                                                                                         | 6.4    |
| Dog Pound                                                                                                            | 7.0    |
| Even the Rain                                                                                                        | 7.4    |
| Groupie                                                                                                              | 3.4    |
| To Be Friends                                                                                                        | 5.5    |
| Ultrasuede: In Search of Halston                                                                                     | 5.3    |
| Beneath the Dark                                                                                                     | 5.1    |
| The Imperialists Are Still Alive!                                                                                    | 6.0    |
| Barney's Version                                                                                                     | 7.3    |
| Liar Game: The Final Stage                                                                                           | 6.9    |
| Stone                                                                                                                | 5.4    |
| The Infidel                                                                                                          | 6.4    |
| 180° moires                                                                                                          | 4.5    |
| El mar muerto                                                                                                        | 7.1    |
| Gegege's Wife                                                                                                        | 7.0    |
| Predators                                                                                                            | 6.4    |
| Senna                                                                                                                | 8.5    |
| The Illustrator                                                                                                      | 8.3    |
| True Legend                                                                                                          | 6.4    |
| The Child Prodigy                                                                                                    | 6.6    |
| Apartment: Rent at Your Own Risk                                                                                     | 3.5    |
| Parterapi                                                                                                            | 5.2    |
| Todespolka                                                                                                           | 6.7    |
| Money to Burn                                                                                                        | 6.2    |
| Skeletons                                                                                                            | 6.8    |
| BearCity                                                                                                             | 6.0    |
| Unrivaled                                                                                                            | 4.0    |
| Leonie                                                                                                               | 6.0    |
| Beer Pong Saved My Life                                                                                              | 4.0    |
| Taxiphone: El Mektoub                                                                                                | 4.9    |
| Lost Angels: Skid Row Is My Home                                                                                     | 7.4    |
| War Machine                                                                                                          | 3.8    |
| Football Fables                                                                                                      | 8.4    |
| Quitting                                                                                                             | 8.4    |
| 3faltig                                                                                                              | 5.2    |
| Kottan ermittelt: Rien ne va plus                                                                                    | 4.1    |
| Princess                                                                                                             | 6.2    |
| We Are Family                                                                                                        | 5.6    |
| Africa United                                                                                                        | 6.5    |
| Alien Opponent                                                                                                       | 4.4    |
| Quero Ser Uma Estrela                                                                                                | 6.0    |
| Small Town Murder Songs                                                                                              | 5.9    |
| Coursier                                                                                                             | 5.8    |
| Rio Sex Comedy                                                                                                       | 4.8    |
| Centre Place                                                                                                         | 5.3    |
| Madly in Love                                                                                                        | 6.2    |
| 1,001 Ways to Enjoy the Missionary Position                                                                          | 4.8    |
